fr-FR,en-US,de-DE,es-ES,id-ID,it-IT,nl-NL,pt-BR
Ã‰teint,Dull,Langweilig,Aburrido,Tidak selaras,Noioso,Saai,Sem graça
Discordant,Discordant,Disharmonisch,Discordante,Membosankan,Discordante,Discordant,Discordante
RÃ©barbatif,Tedious,Langweilig,Tedioso,Menyakitkan,Tedioso,Vervelend,Tedioso
PÃ©nible,Painful,Schmerzhaft,Doloroso,Tidak berdaya,Doloroso,Pijnlijk,Doloroso
Impuissant,Powerless,Machtlos,Impotente,Pesimis,Impotente,Machteloos,Impotente
Pessimiste,Pessimistic,Pessimistisch,Pesimista,Kekasaran,Pessimista,Pessimistisch,Pessimista
DuretÃ©,Roughness,Rau,Rugoso,Redup,Rozzezza,Ruwheid,Rugosidade
Terne,Dim,Dunkel,Oscuro,Terjebak,Oscuro,Dim,Obtuso
EnfermÃ©,Trapped,Gefangen,Atrapado,Tertekan,Intrappolato,Gevangen,Preso
DÃ©primÃ©,Depressed,Deprimiert,Deprimido,Agresif,Depresso,Depressief,Deprimido
Agressif,Aggressive,Aggressiv,Agresivo,Menjengkelkan,Aggressivo,Agressief,Agressivo
Irritant,Irritating,Reizend,Irritante,Menyedihkan,Irritante,Irriterend,Irritante
Lamentable,Pathetic,Erbärmlich,Patético,Dapat diprediksi,Patetico,Pathetisch,Patético
PrÃ©visible,Predictable,Vorhersehbar,Predecible,Tidak tahu berterima kasih,Prevedibile,Voorspelbaar,Previsível
Ingrat,Ungrateful,Undankbar,Ingrato,Tidak menarik,Ingrato,Ondankbaar,Ingrato
InintÃ©ressant,Uninteresting,Uninteressant,Poco interesante,Tidak emosional,Non interessante,Oninteressant,Desinteressante
IndiffÃ©rent,Unemotional,Emotionslos,Sin emociones,Kacau,Senza emozioni,Emotioneel,Sem emoção
Chaotique,Chaotic,Chaotisch,Caótico,Lelah,Caotico,Chaotisch,Caótico
FatiguÃ©,Tired,Müde,Cansado,Kalah,Stanco,Moe,Cansado
Battu,Defeated,Besiegt,Derrotado,Parah,Sconfitto,Verslagen,Derrotado
SÃ©vÃ¨re,Severe,Schwer,Severo,Menyedihkan,Grave,Ernstig,Severo
DÃ©moralisant,Disheartening,Entmutigend,Descorazonador,Pelupa,Scoraggiante,Ontmoedigend,Desanimador
DispersÃ©,Absent-minded,Gedankenverloren,Distraído,Bersifat jahat,Distratto,Afwezig,Distraído
Malveillant,Malicious,Bösartig,Malicioso,Kaku,Malizioso,Kwaadaardig,Malicioso
Raide,Stiff,Steif,Rígido,Menurunkan motivasi,Rigido,Stijf,Rígido
DÃ©motivant,Demotivating,Demotivierend,Desmotivador,Biasa,Demotivante,Demotiverend,Desmotivador
Commun,Common,Alltäglich,Común,Tidak disukai,Comune,Algemeen,Comum
DÃ©sagrÃ©able,Unlikable,Unsympathisch,Desagradable,Mencekik,Sgradevole,Onaangenaam,Desagradável
Ã‰touffant,Stifling,Erstickend,Sofocante,Tidak percaya,Soffocante,Stompend,Sufocante
MÃ©fiant,Distrustful,Misstrauisch,Desconfiado,Acuh tak acuh,Diffidente,Wantrouwend,Desconfiado
Apathique,Indifferent,Gleichgültig,Indiferente,Dingin,Indifferente,Onverschillig,Indiferente
Froid,Cold,Kalt,Frío,Suram,Freddo,Koud,Frio
Lugubre,Gloomy,Düster,Sombrío,Sepele,Tetro,Somber,Sombrio
Trivial,Trivial,Trivial,Trivial,Mengerikan,Ballabile,Triviaal,Trivial
Terreur,Terrifying,Erschreckend,Aterrador,Membahayakan,Terrificante,Angstaanjagend,Assustador
NÃ©faste,Harmful,Schädlich,Dañino,Terkuras,Dannoso,Schadelijk,Prejudicial
ExtÃ©nuÃ©,Drained,Ausgelaugt,Agotado,Tidak penting,Svuotato,Uitgeput,Esgotado
Insignifiant,Insignificant,Bedeutungslos,Insignificante,Menjengkelkan,Insignificante,Onbeduidend,Insignificante
RÃ©barbatif,Off-putting,Abstoßend,Repulsivo,Kecewa,Sgradevole,Afstotend,Desagradável
DÃ©sabusÃ©,Disillusioned,Desillusioniert,Desilusionado,Kesal,Disilluso,Gedesillusioneerd,Desiludido
AgacÃ©,Annoyed,Verärgert,Molesto,Di bawah standar,Infastidito,Geërgerd,Irritado
MÃ©diocre,Subpar,Unterdurchschnittlich,Insuficiente,Menyedihkan,Sotto la media,Ondermaats,Abaixo da média
DÃ©primant,Depressing,Deprimierend,Deprimente,Hambar,Deprimente,Deprimerend,Deprimente
Fade,Bland,Fad,Soso,Munafik,Insipido,Flauw,Insosso
Hypocrite,Hypocritical,Heuchlerisch,Hipócrita,Tidak berpengalaman,Ipocrita,Hypocriet,Hipócrita
InexpÃ©rimentÃ©,Inexperienced,Unerfahren,Inexperto,Tidak teratur,Inesperto,Onervaren,Inexperiente
DÃ©sorganisÃ©,Disorganized,Desorganisiert,Desorganizado,Tidak penting,Disorganizzato,Ongeorganiseerd,Desorganizado
Anodin,Insignificant,Bedeutungslos,Insignificante,Regresif,Insignificante,Onbeduidend,Insignificante
RÃ©gressif,Regressive,Regressiv,Regresivo,Melankolis,Regressivo,Regressief,Regressivo
Triste,Melancholic,Melancholisch,Melancólico,Tegang,Malinconico,Melancholisch,Melancólico
CrispÃ©,Tense,Angespannt,Tenso,Tidak berguna,Teso,Gespannen,Tenso
Inutile,Useless,Nutzlos,Inútil,Kusam,Inutile,Nutteloos,Inútil
InintÃ©ressant,Dull,Langweilig,Aburrido,Dangkal,Noioso,Saai,Maçante
Superficiel,Superficial,Oberflächlich,Superficial,Pucat,Superficiale,Oppervlakkig,Superficial
Blafard,Pale,Blass,Pálido,Tidak stabil,Pallido,Bleek,Pálido
ImprÃ©visible,Unstable,Instabil,Inestable,Canggung,Instabile,Onstabiel,Instável
Maladroit,Clumsy,Tollpatschig,Torpe,Kesal,Goffo,Onhandig,Desajeitado
IrritÃ©,Irritated,Gereizt,Irritado,Brutal,Irritato,Geïrriteerd,Irritado
Brutal,Brutal,Brutal,Brutal,Tak bernyawa,Brutale,Brutaal,Brutal
Sans Ã©clat,Lifeless,Leblos,Sin vida,Glasier,Senza vita,Levenloos,Sem vida
Glacial,Glacial,Eisig,Glacial,Tidak peka,Glaciale,Glaciaal,Glacial
Insensible,Insensitive,Unempfindlich,Insensible,Sombong,Insensibile,Ongevoelig,Insensível
Arrogant,Arrogant,Arrogant,Arrogante,Tidak berperasaan,Arrogante,Arrogant,Arrogante
Froid,Unfeeling,Gefühllos,Insensible,Rentan,Insensibile,Gevoelloos,Insensível
VulnÃ©rable,Vulnerable,Verletzlich,Vulnerable,Terlupakan,Vulnerabile,Kwetsbaar,Vulnerável
OubliÃ©,Forgotten,Vergessen,Olvidado,Berulang-ulang,Dimenticato,Vergeten,Esquecido
RÃ©pÃ©titif,Repetitive,Repetitiv,Repetitivo,Tegang,Ripetitivo,Repetitief,Repetitivo
Tendu,Tense,Angespannt,Tenso,Menyedihkan,Teso,Gespannen,Tenso
PathÃ©tique,Pathetic,Erbärmlich,Patético,Tidak stabil,Patetico,Pathetisch,Patético
Instable,Unstable,Instabil,Inestable,Kusam,Instabile,Onstabiel,Instável
Terne,Drab,Eintönig,Monótono,Rendah hati,Scialbo,Saai,Monótono
Bas,Lowly,Niedrig,Humilde,Tertindas,Umile,Laag,Humilde
